ID;Dimensão;Subdimensão;Rubrica nome;Rubrica numero;Faixa de pontuação (intervalo de pontuação);Pontos fortes;O que fazer para avançar;Necessidades formativas
30;Dimensão pedagógica;Desenvolvimento profissional docente;Sensibilização – Nível Avançar;1;0-9 (Avançar: 5-9);Você já se sente preparado(a) para implementar estratégias básicas de desenvolvimento profissional docente.;Desenvolver preparo para propor formações baseadas em diagnósticos e promover planejamento coletivo mais estruturado.;"Diagnóstico das Necessidades Formativas dos Professores; Planejamento e Promoção de Ações de Desenvolvimento Profissional; Fomento à Colaboração e Aprendizagem Coletiva; Acompanhamento e Apoio Individual aos Professores"
31;Dimensão pedagógica;Desenvolvimento profissional docente;Exploração – Nível Consolidar;2;10-18 (Consolidar: 10-14);Você já se sente preparado(a) para atuar de forma proativa, organizando diagnósticos iniciais e utilizando o tempo coletivo para fins formativos.;Fortalecer diagnósticos baseados em resultados e consolidar uso formativo do tempo coletivo.;"Diagnóstico das Necessidades Formativas dos Professores; Planejamento e Promoção de Ações de Desenvolvimento Profissional; Fomento à Colaboração e Aprendizagem Coletiva; Acompanhamento e Apoio Individual aos Professores"
32;Dimensão pedagógica;Desenvolvimento profissional docente;Exploração – Nível Avançar;2;10-18 (Avançar: 15-18);Você já se sente preparado(a) para organizar diagnósticos iniciais e ações formativas, e realizar observações pontuais de aula.;Assumir papel estratégico com diagnósticos robustos, ações estruturadas e monitoramento das formações.;"Diagnóstico das Necessidades Formativas dos Professores; Fomento à Colaboração e Aprendizagem Coletiva; Planejamento e Promoção de Ações de Desenvolvimento Profissional; Acompanhamento e Apoio Individual aos Professores; Monitoramento e Avaliação das Ações Formativas"
33;Dimensão pedagógica;Desenvolvimento profissional docente;Liderança Estratégica – Nível Consolidar;3;19-33 (Consolidar: 19-26);Você já se sente preparado(a) para liderar ações formativas alinhadas ao PPP.;Fortalecer diagnósticos estruturados, devolutivas consistentes e ajustes nas ações formativas.;"Diagnóstico das Necessidades Formativas dos Professores; Fomento à Colaboração e Aprendizagem Coletiva; Planejamento e Promoção de Ações de Desenvolvimento Profissional; Acompanhamento e Apoio Individual aos Professores; Monitoramento e Avaliação das Ações Formativas"
34;Dimensão pedagógica;Desenvolvimento profissional docente;Liderança Estratégica – Nível Avançar;3;19-33 (Avançar: 27-33);Você já se sente preparado(a) para liderar o desenvolvimento profissional com estratégias regulares e uso de diagnósticos sistemáticos.;Consolidar cultura institucional sustentável de desenvolvimento profissional com parcerias externas.;"Diagnóstico das Necessidades Formativas dos Professores; Fomento à Colaboração e Aprendizagem Coletiva; Monitoramento e Avaliação das Ações Formativas; Articulação de Parcerias para Desenvolvimento Profissional"
35;Dimensão pedagógica;Desenvolvimento profissional docente;Transformação Cultural – Nível Consolidar;4;34-48 (Consolidar: 34-48);Você já se sente preparado(a) para promover uma cultura institucional de desenvolvimento profissional contínuo.;Aprofundar rotinas permanentes e sustentabilidade das práticas formativas com envolvimento da comunidade.;"Diagnóstico das Necessidades Formativas dos Professores; Fomento à Colaboração e Aprendizagem Coletiva; Monitoramento e Avaliação das Ações Formativas; Articulação de Parcerias para Desenvolvimento Profissional"
36;Dimensão pessoal-relacional;Convivência no ambiente escolar;Sensibilização – Nível Consolidar;1;0-9 (Consolidar: 0-4);Você já reconhece a importância de promover um ambiente escolar seguro, inclusivo e acolhedor.;Aprofundar fundamentos da convivência, aplicar políticas e encaminhar casos críticos à rede de proteção.;"Fundamentos Conceituais e Legais da Convivência Escolar e Diversidade; Comportamentos de Risco e Articulação com a Rede de Proteção Social"
37;Dimensão pessoal-relacional;Convivência no ambiente escolar;Sensibilização – Nível Avançar;1;0-9 (Avançar: 5-9);Você já se sente preparado(a) para implementar políticas e programas da rede de ensino voltados à convivência escolar.;Fortalecer diagnóstico de convivência, desenvolver normas e promover ações preventivas.;"Diagnóstico de Problemas de Convivência Escolar; Comportamentos de Risco e Articulação com a Rede de Proteção Social; Criação e Gestão de Normas de Convivência; Promoção de Ações Educativas para a Convivência; Engajamento e Corresponsabilidade da Comunidade Escolar"
38;Dimensão pessoal-relacional;Convivência no ambiente escolar;Exploração – Nível Consolidar;2;10-21 (Consolidar: 10-16);Você já se sente preparado(a) para identificar problemas de convivência e propor ações preventivas.;Aprimorar diagnóstico e fortalecer normas de convivência e diálogo com a comunidade.;"Diagnóstico de Problemas de Convivência Escolar; Comportamentos de Risco e Articulação com a Rede de Proteção Social; Criação e Gestão de Normas de Convivência; Promoção de Ações Educativas para a Convivência; Engajamento e Corresponsabilidade da Comunidade Escolar"
39;Dimensão pessoal-relacional;Convivência no ambiente escolar;Exploração – Nível Avançar;2;10-21 (Avançar: 17-21);Você já se sente preparado(a) para diagnosticar e planejar ações preventivas e promover rodas de conversa e encontros temáticos.;Planejar ações integradas ao PPP, liderar desenvolvimento coletivo de normas e monitorar resultados.;"Planejamento de Ações para a Convivência Escolar; Gestão de Conflitos e Justiça Restaurativa; Promoção de Ações Educativas para a Convivência; Formação Continuada para a Equipe Escolar; Engajamento e Corresponsabilidade da Comunidade Escolar; Monitoramento e Avaliação de Práticas de Convivência Escolar"
40;Dimensão pessoal-relacional;Convivência no ambiente escolar;Liderança – Nível Consolidar;3;22-36 (Consolidar: 22-29);Você já se sente preparado(a) para estruturar ações e envolver a comunidade de forma estratégica.;Planejar ações com base no diagnóstico, liderar construção coletiva e promover ações educativas e formação da equipe.;"Planejamento de Ações para a Convivência Escolar; Gestão de Conflitos e Justiça Restaurativa; Promoção de Ações Educativas para a Convivência; Formação Continuada para a Equipe Escolar; Eng"
